Name,Group,Base_Elo,Base_Camp_City,Total_Utility_Value,Base_Strength,Synergies,Injured_Players
Czechia,A,1680,Dallas,0.0,0.0,,
Mexico,A,1943,Mexico City,0.0,0.0,,
South Africa,A,1559,Pachuca,0.0,0.0,,
South Korea,A,1723,Guadalajara,0.0,0.0,,
Bosnia and Herzegovina,B,1605,Sandy,0.0,0.0,,
Canada,B,1764,Vancouver,0.0,0.0,,
Qatar,B,1411,Santa Barbara,0.0,0.0,,
Switzerland,B,1914,San Diego,0.0,0.0,,
Brazil,C,2031,New York New Jersey,0.0,0.0,,
Haiti,C,1517,New York New Jersey,0.0,0.0,,
Morocco,C,1886,New York New Jersey,0.0,0.0,,
Scotland,C,1745,Charlotte,0.0,0.0,,
Australia,D,1800,San Francisco Bay Area,0.0,0.0,,
Paraguay,D,1823,San Francisco Bay Area,0.0,0.0,,
Turkey,D,1852,Mesa,0.0,0.0,,
United States,D,1798,Irvine,0.0,0.0,,
Curacao,E,1438,Boca Raton,0.0,0.0,,
Ecuador,E,1871,Columbus,0.0,0.0,,
Germany,E,1908,Winston-Salem,0.0,0.0,,
Ivory Coast,E,1727,Philadelphia,0.0,0.0,,
Japan,F,1888,Nashville,0.0,0.0,,
Netherlands,F,1971,Kansas City,0.0,0.0,,
Sweden,F,1731,Dallas,0.0,0.0,,
Tunisia,F,1562,Monterrey,0.0,0.0,,
Belgium,G,1910,Renton,0.0,0.0,,
Egypt,G,1742,Spokane,0.0,0.0,,
Iran,G,1764,Tijuana,0.0,0.0,,
New Zealand,G,1534,San Diego,0.0,0.0,,
Cape Verde,H,1622,Tampa,0.0,0.0,,
Saudi Arabia,H,1596,Austin,0.0,0.0,,
Spain,H,2144,Chattanooga,0.0,0.0,,
Uruguay,H,1841,Cancun,0.0,0.0,,
France,I,2134,Boston,0.0,0.0,,
Iraq,I,1561,Greenbrier County,0.0,0.0,,
Norway,I,1934,Greensboro,0.0,0.0,,
Senegal,I,1816,New York New Jersey,0.0,0.0,,
Algeria,J,1785,Kansas City,0.0,0.0,,
Argentina,J,2148,Kansas City,0.0,0.0,,
Austria,J,1836,Goleta,0.0,0.0,,
Jordan,J,1628,Portland,0.0,0.0,,
Colombia,K,2004,Guadalajara,0.0,0.0,,
DR Congo,K,1704,Houston,0.0,0.0,,
Portugal,K,1990,Palm Beach Gardens,0.0,0.0,,
Uzbekistan,K,1631,Atlanta,0.0,0.0,,
Croatia,L,1905,Alexandria,0.0,0.0,,
England,L,2046,Kansas City,0.0,0.0,,
Ghana,L,1575,Boston,0.0,0.0,,
Panama,L,1658,New Tecumseth,0.0,0.0,,
